   ,RA,EVADIDO,RESID_ARARAS,BOLSISTA,GRADE_CORRENTE,COD_MATERI,DSC_MAT,DSC_STATUS_MAT,NOTA_MEDIA,PONTUACAO_PS
1,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF001,Algoritmos,APROVADO,"8,8","61,00"
2,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF049,Segurança e Auditoria de Sistemas,APROVADO,"6,5","61,00"
3,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF003,Iniciação à Pesquisa Científica,APROVADO,"8,1","61,00"
4,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF004,Lógica Computacional,APROVADO,"6,9","61,00"
5,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF005,Matemática Discreta,APROVADO,"8,0","61,00"
6,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF006,Língua Portuguesa,APROVADO,"8,1","61,00"
7,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF008,Teoria da Computação,APROVADO,"7,2","61,00"
8,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF009,Linguagem de Programação I,APROVADO,"8,8","61,00"
9,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF010,Linguagem de Programação II,APROVADO,"6,6","61,00"
10,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF011,Linguagem de Programação III,APROVADO,"7,5","61,00"
11,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF012,Linguagem de Programação IV,APROVADO,"8,5","61,00"
12,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF013,Linguagem de Programação V,APROVADO,"7,0","61,00"
13,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF014,Linguagem de Programação VI,APROVADO,"6,8","61,00"
14,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF015,Programação para WEB I,APROVADO,"7,7","61,00"
15,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF016,Programação para Web II,APROVADO,"8,4","61,00"
16,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF017,Programação para Web III,APROVADO,"8,0","61,00"
17,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF018,Programação para Web IV,APROVADO,"8,4","61,00"
18,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF019,Arquitetura e Organização de Computadores,APROVADO,"7,2","61,00"
19,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF020,Inglês Instrumental,APROVADO,"7,8","61,00"
20,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF021,Estrutura de Dados I,APROVADO,"6,3","61,00"
21,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF022,Estrutura de Dados II,APROVADO,"7,2","61,00"
22,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF023,Fundamentos da Administração,APROVADO,"6,3","61,00"
23,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF024,Modelagem de Negócios,APROVADO,"7,0","61,00"
24,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF025,Modelagem de Negócios II,APROVADO,"7,2","61,00"
25,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF026,Paradigmas de Programação,APROVADO,"8,2","61,00"
26,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF027,Banco de Dados I,APROVADO,"6,8","61,00"
27,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF028,Banco de Dados II,APROVADO,"7,3","61,00"
28,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF029,Sistemas Operacionais I,APROVADO,"7,3","61,00"
29,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF030,Sistemas Operacionais II,APROVADO,"7,7","61,00"
30,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF031,Engenharia de Software I,APROVADO,"7,8","61,00"
31,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF032,Engenharia de Software II,APROVADO,"7,6","61,00"
32,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF033,Engenharia de Software III,APROVADO,"7,0","61,00"
33,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF034,Engenharia de Software IV,APROVADO,"7,5","61,00"
34,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF035,Interface Humano Computador,APROVADO,"8,6","61,00"
35,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF036,Metodologia da Pesquisa Científica,APROVADO,"7,0","61,00"
36,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF037,Fundamentos de Probabilidade e Estatística,APROVADO,"8,2","61,00"
37,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF038,Redes de Computadores I,APROVADO,"8,5","61,00"
38,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF039,Redes de Computadores II,APROVADO,"8,4","61,00"
39,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF040,Projeto de Sistemas I,APROVADO,"6,8","61,00"
40,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF041,Projeto de Sistemas II,APROVADO,"7,7","61,00"
41,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF042,Pesquisa Operacional,APROVADO,"7,9","61,00"
42,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF043,Gerência de Projetos,APROVADO,"7,6","61,00"
43,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF044,Tópicos Avançados em SI I,APROVADO,"7,8","61,00"
44,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF045,Tópicos Avançados em SI II,APROVADO,"5,4","61,00"
45,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF046,Empreendedorismo,APROVADO,"6,9","61,00"
46,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF047,Gestão Financeira de Negócios,APROVADO,"6,4","61,00"
47,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF048,Sistemas Empresariais Integrados,APROVADO,"6,4","61,00"
48,7d6448038594a469e451dc73ebd98ff3,N,S,S,2008,SIF002,Fundamentos dos Sistemas de Informação,APROVADO,"9,0","61,00"
49,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF020,Inglês Instrumental,APROVADO,"6,4","51,00"
50,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF021,Estrutura de Dados I,REPROVADO POR NOTA,"3,7","51,00"
51,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF022,Estrutura de Dados II,REPROVADO POR NOTA,"3,4","51,00"
52,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF023,Fundamentos da Administração,APROVADO,"6,2","51,00"
53,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF024,Modelagem de Negócios,APROVADO,"5,0","51,00"
54,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF026,Paradigmas de Programação,APROVADO,"6,7","51,00"
55,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF027,Banco de Dados I,REPROVADO POR NOTA,"3,5","51,00"
56,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF028,Banco de Dados II,REPROVADO POR NOTA,"4,4","51,00"
57,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF029,Sistemas Operacionais I,APROVADO,"5,6","51,00"
58,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF030,Sistemas Operacionais II,APROVADO,"6,1","51,00"
59,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF031,Engenharia de Software I,REPROVADO POR NOTA,"3,6","51,00"
60,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF032,Engenharia de Software II,REPROVADO POR NOTA,"4,7","51,00"
61,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF035,Interface Humano Computador,APROVADO,"6,5","51,00"
62,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF001,Algoritmos,APROVADO,"5,6","51,00"
63,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF002,Fundamentos dos Sistemas de Informação,APROVADO,"7,1","51,00"
64,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF003,Iniciação à Pesquisa Científica,APROVADO,"6,5","51,00"
65,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF004,Lógica Computacional,APROVADO,"5,5","51,00"
66,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF005,Matemática Discreta,APROVADO,"6,4","51,00"
67,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF006,Língua Portuguesa,APROVADO,"7,0","51,00"
68,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF007,Cálculo e Álgebra Linear Aplicada,APROVADO,"5,2","51,00"
69,6e3fe8220595bd9e19d503295b84197c,S,N,N,2009,SIF008,Teoria da Computação,APROVADO,"5,2","51,00"
