"EVADIDO","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","TOT_MAT_CURSADAS","TOT_APROVACOES","TOT_REPROVACOES","TOT_REPROV_FREQ","SIF001","SIF002","SIF009","SIF026","SIF027","SIF032","SIF033","SIF042","SIF043","SIF047","SIF049","SIF058","SIF063","SIF064","SIF029","SIF006","SIF073"
0,1,2019,7,10,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1
1,1,2016,5.5,18,15,3,3,1,1,1,2,0,0,0,1,0,0,0,0,1,1,0,1,0
1,0,2014,3,12,6,6,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0
1,1,2014,5.1,49,37,12,10,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0
0,1,2019,5.4,10,8,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,2019,6.4,5,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2016,2.2,6,1,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2017,6.3,16,14,2,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
1,1,2014,6.4,12,10,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,2016,6.2,48,46,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2015,6.3,50,48,2,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,2018,6,22,19,3,3,2,1,1,2,1,0,0,1,0,0,0,0,1,1,1,0,0
0,1,2017,6.6,36,35,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
0,0,2018,8,22,22,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,1,2017,5.8,36,26,10,9,1,1,1,1,1,2,0,2,1,0,0,1,1,1,1,1,0
1,1,2014,5.6,6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2017,6.5,36,32,4,4,1,1,1,1,1,1,0,2,1,0,0,1,1,1,2,1,0
0,1,2019,8.3,10,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
