"EVADIDO","RESID_ARARAS","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","PONTUACAO_PS","TOT_MAT_CURSADAS","TOT_APROVACOES","TOT_REPROVACOES","TOT_REPROV_FREQ","TOT_REPROV_NOTA_FREQ","NCS005","NCS012","SIF001","SIF002","SIF004","SIF005","SIF008","SIF009","SIF010","SIF011","SIF012","SIF015","SIF016","SIF017","SIF019","SIF021","SIF022","SIF026","SIF027","SIF028","SIF031","SIF032","SIF033","SIF035","SIF037","SIF040","SIF041","SIF042","SIF043","SIF047","SIF049","SIF056","SIF057","SIF058","SIF060","SIF062","SIF063","SIF064","SIF065","SIF068","SIF071","SIF029","SIF030","SIF038","SIF039","SIF070","NCS037","NCS040","SIF006","SIF072","SIF073"
0,1,1,2019,7,47,10,9,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,1,1
1,0,1,2016,5.5,47,18,15,3,3,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,2014,3,46,12,6,6,0,6,0,1,1,1,1,1,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,4,0,0
1,0,1,2014,5.1,47,49,37,12,10,2,0,1,1,1,5,1,1,2,2,2,0,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,5,4,1,1,1,1,0,0
0,0,1,2019,5.4,30,10,8,2,2,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1
1,1,1,2019,6.4,68,5,4,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1,1,1,2016,2.2,40,6,1,5,4,1,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1,0,1,2017,6.3,47,16,14,2,1,1,0,2,1,1,1,0,1,0,0,0,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,2014,6.4,45.3,12,10,2,2,0,0,1,1,1,1,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,1,2016,6.2,47,48,46,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,1,1,2015,6.3,33,50,48,2,2,0,0,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,1,1,2018,6,41,22,19,3,3,0,1,0,2,1,1,1,1,1,1,0,0,1,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,1,1,2017,6.6,63,36,35,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
0,0,0,2018,8,66,22,22,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,0,1,2017,5.8,47,36,26,10,9,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,4,2,2,1,1,1,2,2,0,1,2,0,0,2,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,2,0,0,0,0,1,0,0
1,1,1,2014,5.6,44.2,6,5,1,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,2017,6.5,53,36,32,4,4,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,2,1,0,0,1,1,1,0,0,1,1,1,0,1,2,1,2,0,0,0,0,1,0,0
0,0,1,2019,8.3,55,10,10,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,1,2018,7.2,47,17,17,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,2016,6.2,47,45,41,4,3,1,0,1,2,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,2017,1.3,47,14,0,14,2,11,0,0,4,4,4,4,2,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0
1,1,1,2019,0.9,38,5,0,5,0,5,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1,0,0,2015,2.7,25,6,2,4,4,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,2018,1.2,47,15,1,14,8,6,2,2,4,2,2,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,2017,7.9,55,34,34,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0
1,0,1,2014,3.5,36.2,6,1,5,5,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,2016,6.7,47,12,12,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,2014,5.7,51.2,29,24,5,3,1,1,1,1,1,1,1,1,1,0,0,0,1,2,0,1,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
0,0,1,2016,7.8,65,48,48,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,0,1,2017,8.5,53,36,36,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
0,0,1,2019,8.7,47,10,10,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
