"NOTA_MEDIA","SIF043","GRADE_CORRENTE","SIF049","TOT_APROVACOES","SIF073","SIF027","SIF011","BOLSISTA","SIF047","SIF033","SIF029","SIF006","SIF009","TOT_REPROVACOES","SIF058","SIF063","SIF001","SIF062","TOT_REPROV_NOTA_FREQ","SIF002","SIF015","SIF026","SIF042","SIF032"
7,0,2019,0,9,1,0,0,1,0,0,4,0,0,1,0,1,1,0,1,1,0,0,0,0
5.5,0,2016,0,15,0,0,0,1,0,0,0,1,1,3,0,1,1,0,0,1,1,2,1,0
3,0,2014,0,6,0,0,0,0,0,0,0,4,4,6,0,0,1,0,6,1,4,0,0,0
5.1,1,2014,1,37,0,1,2,1,1,2,1,1,2,12,1,1,1,0,2,1,1,1,1,1
5.4,0,2019,0,8,1,0,0,1,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0
6.4,0,2019,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
2.2,0,2016,0,1,0,0,0,1,0,0,0,0,0,5,0,0,2,0,1,1,0,0,0,0
6.3,0,2017,0,14,0,0,0,1,0,0,0,1,0,2,0,1,1,0,1,1,1,1,1,0
6.4,0,2014,0,10,0,0,0,1,0,0,0,1,2,2,0,0,1,0,0,1,1,0,0,0
6.2,1,2016,1,46,0,1,1,1,1,1,1,1,1,2,1,1,1,3,0,1,1,1,1,1
6.3,1,2015,1,48,0,1,1,1,1,1,1,1,5,2,1,1,1,1,0,1,1,1,1,1
6,0,2018,0,19,0,1,0,1,0,0,1,0,1,3,0,1,2,0,0,1,1,2,1,0
6.6,1,2017,0,35,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
8,0,2018,0,22,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0
5.8,1,2017,0,26,0,1,2,1,0,0,1,1,1,10,1,1,1,0,1,1,1,1,2,2
5.6,0,2014,0,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
6.5,1,2017,0,32,0,1,1,1,0,0,2,1,1,4,1,1,1,0,0,1,1,1,2,1
8.3,0,2019,0,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
7.2,0,2018,0,17,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0
6.2,1,2016,1,41,0,1,2,1,1,1,1,1,0,4,1,1,2,1,1,1,1,1,1,1
1.3,0,2017,0,0,0,0,0,1,0,0,0,0,4,14,0,0,4,0,11,4,2,0,0,0
0.9,0,2019,0,0,0,0,0,1,0,0,0,0,0,5,0,0,4,0,5,4,0,0,0,0
2.7,0,2015,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0
1.2,0,2018,0,1,0,0,0,1,0,0,0,0,2,14,0,0,4,0,6,2,2,0,0,0
7.9,0,2017,0,34,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
3.5,0,2014,0,1,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,2,0,0,0,0
6.7,0,2016,0,12,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
5.7,0,2014,0,24,0,0,0,1,0,0,0,1,1,5,0,1,1,0,1,1,1,2,3,0
7.8,1,2016,1,48,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
8.5,1,2017,0,36,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1
8.7,0,2019,0,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
5.8,0,2019,0,8,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
7.5,0,2019,0,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
5.3,1,2014,1,46,0,1,1,1,1,1,1,1,1,15,1,1,5,1,0,1,1,1,1,5
5.3,0,2015,0,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
7.9,0,2018,0,22,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0
8.4,0,2015,0,12,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
6.1,1,2014,1,48,0,1,1,1,5,1,1,1,1,9,1,1,1,1,0,1,1,1,1,1
