"RA","EVADIDO","RESID_ARARAS","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","PONTUACAO_PS","TOT_MAT_CURSADAS","TOT_APROVACOES","TOT_REPROVACOES","TOT_REPROV_FREQ","TOT_REPROV_NOTA_FREQ","NCS005","NCS012","SIF001","SIF002","SIF004","SIF005","SIF008","SIF009","SIF010","SIF011","SIF012","SIF015","SIF016","SIF017","SIF019","SIF021","SIF022","SIF026","SIF027","SIF028","SIF031","SIF032","SIF033","SIF035","SIF037","SIF040","SIF041","SIF042","SIF043","SIF047","SIF049","SIF056","SIF057","SIF058","SIF060","SIF062","SIF063","SIF064","SIF065","SIF068","SIF071","SIF029","SIF030","SIF038","SIF039","SIF070","NCS037","NCS040","SIF006","SIF072","SIF073"
"002edf3eae2ce5635d797b35345ffdea",0,1,1,2019,7,47,10,9,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,1,1
"003719ff8ca88d5266775000fbd3c7f9",1,0,1,2016,5.5,47,18,15,3,3,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"01563df7114a12af3f8cbd0cb4082491",1,0,0,2014,3,46,12,6,6,0,6,0,1,1,1,1,1,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,4,0,0
"016ed164e805bc35f38559a5de19f818",1,0,1,2014,5.1,47,49,37,12,10,2,0,1,1,1,5,1,1,2,2,2,0,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,5,4,1,1,1,1,0,0
"017a04be49784c0140a9506efe4aea86",0,0,1,2019,5.4,30,10,8,2,2,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1
"01e8f44367f1a7c965985adbfa881081",1,1,1,2019,6.4,68,5,4,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"020d6f2880aa06a3eb8de00be3f6d2d2",1,1,1,2016,2.2,40,6,1,5,4,1,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"0233406e951728976666df486dbdffc1",1,0,1,2017,6.3,47,16,14,2,1,1,0,2,1,1,1,0,1,0,0,0,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"02504e5e77b7f44710c9fd0be8a17cfc",1,1,1,2014,6.4,45.3,12,10,2,2,0,0,1,1,1,1,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"0275dc930c1d73a0b6a220d44b264e40",0,0,1,2016,6.2,47,48,46,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
