"EVADIDO","NOTA_MEDIA","SIF043","SIF073","NCS005","SIF027","SIF006","TOT_REPROVACOES","SIF060","SIF009","SIF033","SIF029","BOLSISTA","SIF011","SIF058","NCS012","SIF002","SIF063","SIF047","SIF064","TOT_REPROV_NOTA_FREQ","TOT_MAT_CURSADAS","TOT_APROVACOES"
0,7,0,1,0,0,0,1,0,0,0,4,1,0,0,0,1,1,0,1,1,10,9
1,5.5,0,0,0,0,1,3,0,1,0,0,1,0,0,1,1,1,0,1,0,18,15
1,3,0,0,0,0,4,6,0,4,0,0,0,0,0,1,1,0,0,4,6,12,6
1,5.1,1,0,0,1,1,12,1,2,2,1,1,2,1,1,1,1,1,1,2,49,37
0,5.4,0,1,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,1,0,10,8
1,6.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,4
1,2.2,0,0,0,0,0,5,0,0,0,0,1,0,0,2,1,0,0,0,1,6,1
1,6.3,0,0,0,0,1,2,0,0,0,0,1,0,0,2,1,1,0,1,1,16,14
1,6.4,0,0,0,0,1,2,0,2,0,0,1,0,0,1,1,0,0,1,0,12,10
0,6.2,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,48,46
0,6.3,1,0,0,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,0,50,48
0,6,0,0,1,1,0,3,0,1,0,1,1,0,0,0,1,1,0,1,0,22,19
0,6.6,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,36,35
0,8,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,22,22
1,5.8,1,0,0,1,1,10,0,1,0,1,1,2,1,1,1,1,0,1,1,36,26
1,5.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,6,5
0,6.5,1,0,0,1,1,4,0,1,0,2,1,1,1,2,1,1,0,1,0,36,32
0,8.3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,7.2,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,17,17
0,6.2,1,0,0,1,1,4,1,0,1,1,1,2,1,1,1,1,1,0,1,45,41
1,1.3,0,0,0,0,0,14,0,4,0,0,1,0,0,0,4,0,0,4,11,14,0
1,0.9,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,5,5,0
1,2.7,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,6,2
1,1.2,0,0,2,0,0,14,0,2,0,0,1,0,0,2,2,0,0,4,6,15,1
0,7.9,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,34,34
1,3.5,0,0,0,0,0,5,0,0,0,0,1,0,0,2,2,0,0,0,0,6,1
1,6.7,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12,12
1,5.7,0,0,1,0,1,5,0,1,0,0,1,0,0,1,1,1,0,1,1,29,24
0,7.8,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,8.5,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,8.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,5.8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,9,8
0,7.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,5.3,1,0,0,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,0,61,46
1,5.3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,6,5
0,7.9,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,22,22
1,8.4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,12,12
0,6.1,1,0,0,1,1,9,1,1,1,1,1,1,1,1,1,1,5,1,0,57,48
1,7.8,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,36,36
1,5.2,1,0,0,1,1,18,2,2,2,1,1,2,1,1,1,1,1,1,0,52,34
0,6.8,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,49,48
0,9.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,6.7,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,10,9
0,7.5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,4.8,0,0,1,1,0,8,0,1,0,1,1,0,0,0,1,1,0,2,0,22,14
0,6,1,0,0,1,1,6,1,1,5,5,1,1,1,1,1,1,1,5,1,54,48
0,7.2,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
1,4,1,0,0,2,1,16,0,2,0,2,0,2,1,0,0,1,0,1,3,29,13
0,6.2,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,22,21
1,5.4,0,0,0,0,1,4,0,1,0,0,1,0,0,2,1,1,0,1,0,18,14
0,7.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,10,10
0,6.4,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,22,21
0,6.1,1,0,0,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1,0,50,48
0,6.9,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,36,36
0,7.6,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
1,5.5,1,0,0,3,1,24,1,1,1,3,1,5,1,1,1,1,1,1,15,84,60
0,4.6,1,0,0,2,1,25,1,1,2,2,0,2,2,1,1,1,0,1,1,47,22
1,7.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
1,3.9,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,6,3
1,5.5,0,0,0,0,2,4,0,2,0,0,0,0,0,1,1,0,0,1,0,12,8
0,8.8,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,8.7,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,5.6,1,0,0,1,1,12,1,1,2,1,1,1,1,1,1,1,1,1,0,52,40
0,8.5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,22,22
0,7.1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,7.2,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
1,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4
0,6.9,0,0,1,1,0,3,0,1,0,1,1,0,0,0,1,1,0,1,0,22,19
1,4.2,0,0,1,1,0,9,0,0,0,1,1,0,0,0,1,1,0,1,2,20,11
1,6.4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,1,0,16,15
1,5.8,1,0,0,1,1,7,0,1,0,1,1,1,1,1,1,1,0,2,0,36,29
0,7.7,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,37,37
0,1,0,0,0,4,0,16,0,4,0,4,0,0,0,0,0,4,0,2,14,16,0
0,5.8,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,9
0,9.3,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,48,48
0,8.6,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,22,22
0,6,1,0,0,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,48,43
0,7.5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,22,22
0,6.4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,9
1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,6,5
0,5.6,1,0,0,1,1,10,0,2,0,2,1,1,1,1,1,1,0,2,1,36,26
1,3.9,0,0,0,0,0,3,0,0,0,0,1,0,0,2,2,0,0,0,0,6,3
1,5.7,0,0,1,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,16,13
1,6.5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,10
0,6,1,0,0,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,0,48,43
0,5.7,1,0,0,1,1,9,1,5,1,1,0,1,1,1,1,1,1,1,0,55,46
1,0.1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,0,0,5,5,0
1,4.4,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,4,2
0,6,1,0,0,1,1,9,1,2,2,1,1,1,1,1,1,1,1,1,0,48,39
1,3.5,0,0,0,0,0,5,0,0,0,0,1,0,0,2,2,0,0,0,0,6,1
1,5.4,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,6,5
0,4.4,1,0,0,1,2,22,4,2,2,2,1,2,2,1,1,1,2,1,3,46,24
0,5.3,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,15,13
0,5.5,0,0,1,1,0,4,0,1,0,1,1,0,0,0,1,1,0,1,0,22,18
1,2,0,0,0,0,0,6,0,0,0,0,1,0,0,2,2,0,0,0,0,6,0
0,7.3,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,25,25
1,6.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5
